game.frametime_average,game.frametime_variance,game.time,network.acks_received,network.acks_sent,network.adapter,network.bytes_received,network.bytes_sent,network.connects,network.connects_received,network.connects_rejected,network.connects_sent,network.disconnects,network.messages_limited,network.messages_received,network.messages_redundant,network.messages_resent,network.messages_sent,network.never_connected,network.packets_acked,network.packets_limited,network.packets_lost,network.packets_outofseq,network.packets_received,network.packets_sent,network.peer_address,network.peer_port,network.processing_time,network.reconnects,network.reconnects_rejected,network.rtt_average,network.rtt_jitter,network.status,player.id,stats.duration,stats.version,
0.016688,0.000000,735.800354,289,386,Ethernet,137496,23965,0,0,0,0,0,0,3474,0,0,404,0,289,0,0,0,675,677,138.0.15.115,5102,0.024215,0,0,0.070103,0.001872,Connected,2591139810092352,10.012870,7,
0.016688,0.000000,745.812500,286,336,Ethernet,91581,21715,0,0,0,0,0,0,2591,0,0,397,0,286,0,0,0,622,622,138.0.15.115,5102,0.023137,0,0,0.070091,0.001907,Connected,2591139810092352,10.012578,7,
0.016687,0.000000,755.824341,284,342,Ethernet,98984,22712,0,0,0,0,0,0,2304,0,0,417,0,284,0,0,0,626,626,138.0.15.115,5102,0.022378,0,0,0.069699,0.001981,Connected,2591139810092352,10.012488,7,
0.016688,0.000000,765.836670,290,395,Ethernet,126036,24963,0,0,0,0,0,0,3133,0,0,437,0,290,0,0,0,685,685,138.0.15.115,5102,0.024014,0,0,0.069894,0.002063,Connected,2591139810092352,10.012541,7,
0.016687,0.000000,775.848511,280,322,Ethernet,78788,21796,0,0,0,0,0,0,2330,0,0,376,0,280,0,0,0,602,603,138.0.15.115,5102,0.022268,0,0,0.069846,0.002090,Connected,2591139810092352,10.012454,7,
0.016688,0.000000,785.860718,281,345,Ethernet,86281,22918,0,0,0,0,0,0,2385,0,0,379,0,281,0,0,0,626,624,138.0.15.115,5102,0.022884,0,0,0.069899,0.002055,Connected,2591139810092352,10.012579,7,
0.016687,0.000000,795.872620,288,340,Ethernet,97371,23639,0,0,0,0,0,0,2814,0,0,394,0,288,0,0,0,628,630,138.0.15.115,5102,0.023121,0,0,0.069837,0.001848,Connected,2591139810092352,10.012421,7,
0.016687,0.000000,805.884705,294,310,Ethernet,83457,21326,0,0,0,0,0,0,1603,0,0,408,0,294,0,0,0,604,603,138.0.15.115,5102,0.021608,0,0,0.070007,0.001823,Connected,2591139810092352,10.012474,7,
0.016688,0.000000,815.896912,301,325,Ethernet,84312,22319,0,0,0,0,0,0,2042,0,0,421,0,301,0,0,0,626,626,138.0.15.115,5102,0.022671,0,0,0.069798,0.001931,Connected,2591139810092352,10.012503,7,
0.016688,0.000000,825.909241,288,324,Ethernet,80150,22168,0,0,0,0,0,0,1992,0,0,411,0,288,0,0,0,612,612,138.0.15.115,5102,0.021875,0,0,0.070092,0.001922,Connected,2591139810092352,10.012768,7,
0.016687,0.000000,835.921204,298,360,Ethernet,124686,23252,0,0,0,0,0,0,3077,0,0,436,0,298,0,0,0,658,657,138.0.15.115,5102,0.023821,0,0,0.069718,0.001896,Connected,2591139810092352,10.012397,7,
0.016687,0.000000,845.933105,271,455,Ethernet,165285,25373,0,0,0,0,0,0,4240,0,0,422,0,271,0,0,0,726,726,138.0.15.115,5102,0.024613,0,0,0.070052,0.002140,Connected,2591139810092352,10.012222,7,
0.016698,0.000000,855.934814,253,368,Ethernet,105503,20570,0,0,0,0,0,0,2561,0,0,349,0,253,0,0,0,621,621,138.0.15.115,5102,0.021205,0,0,0.070031,0.001987,Connected,2591139810092352,10.002057,7,
