2022-03-17T15-24-47: LogOut_File: : logfile started
2022-03-17T15-24-47: Net Status: low-level initialize success.
2022-03-17T15-24-47: Note: this version (1/29/2017) has new data fields added
2022-03-17T15-24-47: time = time since start of game in ms.
2022-03-17T15-24-47: address = address of IP address
2022-03-17T15-24-47: incoming = total size of messages set to me in bytes. Spikes can indicate lag.
2022-03-17T15-24-47: outgoing = total size of messages set from me in bytes. Spikes can indicate lag.
2022-03-17T15-24-47: app_ctos = client to server bytes delta excluding overheads (app data only)
2022-03-17T15-24-47: app_stoc = server to client bytes delta excluding overheads (app data only)
2022-03-17T15-24-47: loss = number of packets lost. Can indicate lags.  Some node on the network is dropping packets or taking to long and we have to resend them.
2022-03-17T15-24-47: sent = number of packets sent. Spikes can indicate lag.
2022-03-17T15-24-47: ping = how long it takes for a packet to get back and forth. Spikes can indicate lag.
2022-03-17T15-24-47: variance = how much the ping is changing from avg ping. Spikes can indicate lag.
2022-03-17T15-24-47: reliable delayed = This occurs when we drop reliable packets from sending this frame because we are sending to much data. Unreliable are more likely to be dropped than reliable.
2022-03-17T15-24-47: unreliable delayed = This occurs when we drop unreliable packets from sending this frame because we are sending to much data.
2022-03-17T15-24-47: app update delayed = This occurs when the app is taking to long to run code caused by network packets (ie CPU) and packets are delayed until the next frame
2022-03-17T15-24-47: Time spent in critical section (frame) = This is the time the network thread is blocking the main thread from doing anything.
2022-03-17T15-24-47: Latency in Window = The average Latency in ms. of Reliable packets during this time slice
2022-03-17T15-24-47: Packet Loss percentage in Window = The packet loss percentage of Reliable packets during this time slice
2022-03-17T15-24-47: Jitter in Window = The average Jitter in ms. of Reliable packets during this time slice
2022-03-17T15-24-47: Overall Latency Min = The lowest Latency seen in ms. of Reliable packets up to this point in time
2022-03-17T15-24-47: Overall Latency Max = The largest Latency seen in ms. of Reliable packets up to this point in time
2022-03-17T15-24-47: Latency Min in Window = The lowest Latency seen in ms. of Reliable packets during this time slice
2022-03-17T15-24-47: Latency Max in Window = The largest Latency seen in ms. of Reliable packets during this time slice
2022-03-17T15-24-47: Latency packet samples = number of packets used in determining average latency from start of game
2022-03-17T15-24-47: Jitter packet samples = number of packets used in determining average jitter from start of game
2022-03-17T15-24-47: reconnect = flag to indicate one or more reconnects occurred
2022-03-17T15-24-47: [time], [address], [incoming], [outgoing], [app_ctos], [app_stoc], [loss], [sent], [ping], [variance], [reliable delayed], [unreliable delayed], [app update delayed], [Time spent in critical section (frame)], [Latency in Window], [Packet Loss percentage in Window], [Jitter in Window], [Overall Latency Min], [Overall Latency Max], [Latency Min in Window], [Latency Maxin Window], [Latency packet Samples], [Jitter Packet Samples],[reconnect]
838017,X.X.X.X,7117841,1718662,21715,91581,0,21288,77,0,0,0,0,0,77,0.000000,2,77,77,77,77,21283,21283,0
848029,X.X.X.X,7216825,1741374,22712,98984,0,21572,77,0,0,0,0,0,77,0.000000,2,77,77,77,77,21567,21567,0
858042,X.X.X.X,7342861,1766337,24963,126036,0,21862,76,0,0,0,0,0,76,0.000000,2,76,76,76,76,21857,21857,0
868054,X.X.X.X,7421649,1788133,21796,78788,0,22143,77,0,0,0,0,0,77,0.000000,1,77,77,77,77,22137,22137,0
878067,X.X.X.X,7507930,1811051,22918,86281,0,22422,77,0,0,0,0,0,77,0.000000,1,77,77,77,77,22418,22418,0
888079,X.X.X.X,7605301,1834690,23639,97371,0,22712,76,0,0,0,0,0,76,0.000000,2,76,76,76,76,22706,22706,0
898092,X.X.X.X,7688758,1856016,21326,83457,0,23005,76,0,0,0,0,0,76,0.000000,1,76,76,76,76,23000,23000,0
908104,X.X.X.X,7773070,1878335,22319,84312,0,23306,76,0,0,0,0,0,76,0.000000,1,76,76,76,76,23301,23301,0
918117,X.X.X.X,7853220,1900503,22168,80150,0,23594,76,0,0,0,0,0,76,0.000000,1,76,76,76,76,23589,23589,0
928129,X.X.X.X,7977906,1923755,23252,124686,0,23891,76,0,0,0,0,0,76,0.000000,1,76,76,76,76,23887,23887,0
938142,X.X.X.X,8143191,1949128,25373,165285,0,24162,77,0,0,0,0,0,77,0.000000,1,77,77,77,77,24158,24158,0
948144,X.X.X.X,8248694,1969698,20570,105503,0,24415,76,0,0,0,0,0,76,0.000000,2,76,76,76,76,24411,24411,0
958160,X.X.X.X,8307358,1987046,17348,58664,0,24643,76,0,0,0,0,0,76,0.000000,1,76,76,76,76,24639,24639,0
968172,X.X.X.X,8359926,2003772,16726,52568,0,24868,76,0,0,0,0,0,76,0.000000,1,76,76,76,76,24864,24864,0
978185,X.X.X.X,8424790,2025668,21896,64864,0,25134,76,0,0,0,0,0,76,0.000000,2,76,76,76,76,25128,25128,0
988197,X.X.X.X,8503608,2049702,24034,78818,0,25406,76,0,0,0,0,0,76,0.000000,1,76,76,76,76,25401,25401,0
998211,X.X.X.X,8609812,2075666,25964,106204,0,25706,76,0,0,0,0,0,76,0.000000,1,76,76,76,76,25701,25701,0
1008224,X.X.X.X,8699317,2097464,21798,89505,0,25992,77,0,0,0,0,0,77,0.000000,2,77,77,77,77,25987,25987,0
1018236,X.X.X.X,8792425,2123282,25818,93108,0,26297,76,0,0,0,0,0,76,0.000000,1,76,76,76,76,26293,26293,0
1028237,X.X.X.X,8904735,2147847,24565,112310,0,26587,76,0,0,0,0,0,76,0.000000,1,76,76,76,76,26583,26583,0
1038249,X.X.X.X,9017574,2170659,22812,112839,0,26876,76,0,0,0,0,0,76,0.000000,1,76,76,76,76,26871,26871,0
1048262,X.X.X.X,9102054,2191921,21262,84480,0,27163,76,0,0,0,0,0,76,0.000000,2,76,76,76,76,27158,27158,0
1058276,X.X.X.X,9198363,2214602,22681,96309,0,27456,76,0,0,0,0,0,76,0.000000,1,76,76,76,76,27451,27451,0
1068290,X.X.X.X,9274867,2235990,21388,76504,0,27749,76,0,0,0,0,0,76,0.000000,1,76,76,76,76,27744,27744,0
1078302,X.X.X.X,9410825,2259283,23293,135958,0,28036,77,0,0,0,0,0,77,0.000000,2,77,77,77,77,28032,28032,0
1088315,X.X.X.X,9482957,2280760,21477,72132,0,28320,77,0,0,0,0,0,77,0.000000,1,77,77,77,77,28316,28316,0
1098330,X.X.X.X,9580287,2303223,22463,97330,0,28627,76,0,0,0,0,0,76,0.000000,1,76,76,76,76,28622,28622,0
1108343,X.X.X.X,9720209,2326548,23325,139922,0,28904,76,0,0,0,0,0,76,0.000000,1,76,76,76,76,28899,28899,0
1118350,X.X.X.X,9901599,2353369,26821,181390,0,29169,77,0,0,0,0,0,77,0.000000,2,77,77,77,77,29164,29164,0
1128355,X.X.X.X,9977834,2370017,16648,76235,0,29340,76,0,0,0,0,0,76,0.000000,2,76,76,76,76,29336,29336,0
1138368,X.X.X.X,10043176,2387340,17323,65342,0,29558,76,0,0,0,0,0,76,0.000000,2,76,76,76,76,29554,29554,0
1148380,X.X.X.X,10095781,2403330,15990,52605,0,29751,76,0,0,0,0,0,76,0.000000,2,76,76,76,76,29747,29747,0
1158393,X.X.X.X,10176065,2423264,19934,80284,0,29979,76,0,0,0,0,0,76,0.000000,1,76,76,76,76,29974,29974,0
1168405,X.X.X.X,10293885,2446388,23124,117820,0,30253,77,0,0,0,0,0,77,0.000000,1,77,77,77,77,30248,30248,0
1178406,X.X.X.X,10421994,2470995,24607,128109,0,30537,77,0,0,0,0,0,77,0.000000,2,77,77,77,77,30532,30532,0
1188419,X.X.X.X,10505907,2492038,21043,83913,0,30816,77,0,0,0,0,0,77,0.000000,1,77,77,77,77,30810,30810,0
1198431,X.X.X.X,10583943,2512300,20262,78036,0,31083,77,0,0,0,0,0,77,0.000000,1,77,77,77,77,31078,31078,0
1208432,X.X.X.X,10689192,2536194,23894,105249,0,31377,76,0,0,0,0,0,76,0.000000,1,76,76,76,76,31373,31373,0
1218447,X.X.X.X,10813361,2560477,24283,124169,0,31665,76,0,0,0,0,0,76,0.000000,1,76,76,76,76,31659,31659,0
1228454,X.X.X.X,10955529,2585406,24929,142168,0,31959,77,0,0,0,0,0,77,0.000000,1,77,77,77,77,31953,31953,0
1238461,X.X.X.X,11096231,2608391,22985,140702,0,32215,76,0,0,0,0,0,76,0.000000,2,76,76,76,76,32209,32209,0
